Set,Price_Euro,Pieces,Minifigs
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,3.99,44.0,1.0
Fire ATV,,39.0,1.0
Sky Police Jetpack,,33.0,2.0
Race Boat,3.99,34.0,1.0
Popcorn Cart,,43.0,1.0
Space Satellite,,36.0,1.0
Naboo Starfighter,,48.0,
Snowspeeder,,49.0,
Minecraft Steve and Creeper Set,,36.0,2.0
Tulips,,90.0,
Emma's Bumper Cars,3.99,66.0,1.0
Mia's Water Fun,,28.0,1.0
Spider-Man's Mini Spider Crawler,,73.0,1.0
Iron Man and Dum-E,,38.0,1.0
Rex's Plantimal Ambush,3.89,32.0,1.0
Podracer,,58.0,
Lucy vs. Alien Invader,,44.0,1.0
Mini Master-Building MetalBeard,,42.0,1.0
Mini Master-Building Emmet,3.89,49.0,1.0
Sam-X,,56.0,
Ninja Workout,,31.0,1.0
Fire Flight,,54.0,1.0
Fish Free Builds - Make It Yours,,39.0,
Elsa's Winter Throne,3.99,42.0,1.0
Pelican,3.89,62.0,
Race Car,3.99,68.0,
Santa,,67.0,
Star-Stuck Emmet,,41.0,1.0
SHAZAM!,,5.0,1.0
Obi-Wan Kenobi - Collectable Minifigure,,12.0,1.0
Futuristic Flyer,14.61,157.0,
Dune Buggy,12.66,147.0,
Deep Sea Creatures,14.99,230.0,
Sunset Track Racer,19.99,221.0,
Underwater Robot,19.99,207.0,
Shuttle Transporter,24.36,341.0,
Helicopter Adventure,9.74,114.0,
Riverside Houseboat,29.99,396.0,2.0
Race Plane,29.23,333.0,1.0
Fairground Carousel,48.73,595.0,3.0
Twin-Rotor Helicopter,48.73,569.0,1.0
Townhouse Pet Shop & Café,79.99,969.0,3.0
Outback Cabin,29.23,305.0,2.0
Year of the Pig,,152.0,
MSC Cruises,,181.0,
Jet Fighter,,23.0,
Caterpillar,,48.0,
Viking Ship,,54.0,
Ladybird,,27.0,
Crane,,64.0,
Frog,,39.0,
Ice Cream Truck,,48.0,
Racing Car,,50.0,
Eagle,,56.0,
UFO,,36.0,
Wolf,,47.0,
Penguin,,47.0,
Battle of Hoth - 20th Anniversary Edition,,195.0,
Avengers Tower,,211.0,1.0
Space Rocket Ride,,154.0,1.0
Newbury Juice Bar,,127.0,2.0
Microscale Gingerbread House,19.48,499.0,
Christmas Tree,,392.0,
Sea Accessories,3.99,24.0,
NINJAGO Minifigure Set,12.99,59.0,4.0
Spider-Man and the Museum Break-In,14.61,49.0,3.0
Summer Celebration Minifigure Pack,12.99,45.0,4.0
Mars Exploration Minifigure Pack,12.66,44.0,4.0
LEGOLAND Park,,1336.0,11.0
LEGOLAND Driving School Cars,,209.0,4.0
Birthday Clown,9.99,150.0,
Valentine's Puppy,9.99,147.0,
Easter Chick,9.99,120.0,
Halloween Ghost,9.74,136.0,
Thanksgiving Scarecrow,9.99,177.0,
"Reindeer, Elf and Elfie",19.99,281.0,
Dragon Dance Guy,9.99,170.0,
LEGO House Exclusive Minifigure 2019,,7.0,1.0
LEGO Store Picture Frame,14.99,170.0,1.0
Name Sign,9.99,91.0,
Olaf's Traveling Sleigh,,97.0,1.0
Battle of Endor,,197.0,
LEGO House Dinosaurs,,864.0,
Lady Liberty,9.99,153.0,
Xmas Accessories,3.99,32.0,1.0
Rebuild the World minifigure,,6.0,
1989 Batmobile - Limited Edition,,366.0,
Reindeer,,77.0,
Plants from Plants,,29.0,
Jasmine's Petite Tower,9.99,49.0,1.0
Cinderella's Carriage Ride,19.99,91.0,1.0
Ariel's Castle,24.99,115.0,1.0
Aladdin's and Jasmine's Palace Adventures,29.99,193.0,2.0
"Ariel, Aurora, and Tiana's Royal Celebration",44.99,282.0,3.0
Rapunzel's Small Tower,9.99,44.0,1.0
Enchanted Treehouse,48.73,302.0,3.0
Anna's Canoe Expedition,19.99,108.0,2.0
Elsa and the Reindeer Carriage,29.99,116.0,1.0
Arendelle Castle Village,79.99,521.0,3.0
Elsa's Jewellery Box Creation,39.99,300.0,1.0
Olaf,14.61,122.0,
Underwater Loop,29.23,389.0,2.0
Andrea's Heart Box,7.99,84.0,1.0
Emma's Heart Box,7.99,85.0,1.0
Stephanie's Heart Box,7.99,85.0,1.0
Olivia's Heart Box,7.99,85.0,2.0
Mia's Heart Box,7.99,83.0,1.0
Heart Box Friendship Pack,19.99,199.0,2.0
Emma's Mobile Veterinary Clinic ,9.74,50.0,1.0
Mia's Foal Stable ,19.49,118.0,1.0
Heartlake City Supermarket,29.23,140.0,2.0
Mia's Forest Adventure,14.99,134.0,1.0
Stephanie's Buggy & Trailer ,19.99,166.0,1.0
Emma's Art Studio,24.99,235.0,2.0
Olivia's Cupcake Cafe,29.23,335.0,2.0
Stephanie's Horse Jumping,38.98,337.0,2.0
Andrea's Talent Show,49.99,492.0,2.0
Mia's House,68.23,715.0,3.0
Mia's Horse Trailer,29.23,216.0,2.0
Stephanie's Gymnastics Show,29.23,241.0,2.0
Funny Octopus Ride,38.98,324.0,2.0
Andrea's Pool Party,48.73,468.0,2.0
Heartlake City Amusement Pier,126.71,1251.0,7.0
Turtles Rescue Mission,19.49,225.0,2.0
Dolphins Rescue Mission,38.98,363.0,2.0
Heartlake City Restaurant,58.48,624.0,3.0
Lighthouse Rescue Centre,58.48,602.0,2.0
Rescue Mission Boat,87.72,908.0,4.0
LEGO Friends Advent Calendar,24.99,330.0,3.0
Olivia's Hamster Playground,9.74,81.0,1.0
Andrea's Summer Heart Box,7.99,83.0,1.0
Emma's Summer Heart Box,7.99,86.0,1.0
Stephanie's Summer Heart Box,7.99,95.0,1.0
Olivia's Summer Heart Box,7.99,93.0,2.0
Mia's Summer Heart Box,7.99,85.0,1.0
Emmet,,113.0,
Wyldstyle,,134.0,
Benny,,103.0,
Sweet Mayhem,,137.0,
Cherry Picker,9.74,155.0,
Power Boat,14.99,174.0,
Getaway Truck,19.99,128.0,
Police Pursuit,19.49,120.0,
Rescue Helicopter,29.99,325.0,
Chevrolet Corvette ZR1,39.99,579.0,
Tracked Loader,59.99,827.0,
Remote-Controlled Stunt Racer,79.99,324.0,
Porsche 911 RSR,199.99,1580.0,
Compact Crawler Crane,87.72,920.0,
Car Transporter,149.99,2493.0,
4x4 X-Treme Off-Roader,229.99,958.0,
Liebherr R 9800,449.99,4108.0,
Land Rover Defender,199.99,2573.0,
Elsa's Ice Palace,69.99,701.0,7.0
City Shaper Challenge Kit,,2238.0,1.0
BOOMTOWN BUILD Inspire Set,,739.0,
BOOMTOWN BUILD Discovery Set,,78.0,4.0
Ski Resort,77.97,806.0,11.0
Jet Patrol,9.74,54.0,2.0
Sky Police Drone Chase,19.49,192.0,3.0
Parachute Arrest,29.23,218.0,4.0
Diamond Heist,49.99,400.0,4.0
Air Base,73.1,529.0,6.0
Barbecue Burn Out,9.74,64.0,2.0
Dock Side Fire,14.61,97.0,2.0
Burger Bar Fire Rescue,29.99,327.0,3.0
Fire Station,59.99,509.0,4.0
Downtown Fire Brigade,99.99,943.0,7.0
Fire Plane,38.98,363.0,3.0
Desert Rally Racer,9.99,75.0,1.0
Construction Loader,9.99,88.0,1.0
Garbage Truck,19.99,90.0,2.0
Diving Yacht,19.99,148.0,2.0
Snow Groomer,19.49,197.0,2.0
Harvester Transport,29.99,358.0,3.0
Satellite Service Mission,9.74,84.0,1.0
Rover Testing Drive,19.49,202.0,2.0
Mars Research Shuttle,29.99,273.0,2.0
Lunar Space Station,48.73,412.0,5.0
Deep Space Rocket and Launch Control,99.99,837.0,7.0
Rocket Assembly & Transport,129.99,1055.0,8.0
People Pack - Space Research and Development,38.98,209.0,15.0
Fire Chief Response Truck,19.49,201.0,2.0
Garage Centre,38.98,234.0,4.0
Donut Shop Opening,79.99,790.0,10.0
People Pack - Fun Fair,38.98,183.0,14.0
LEGO City Advent Calendar,19.99,234.0,8.0
Straight & T-Junction ,9.74,2.0,
Curves & Crossroad,9.74,2.0,
Police Patrol Car,9.99,92.0,1.0
Kayak Adventure,9.99,84.0,1.0
Bonus/Value pack,,218.0,
Bonus/Value pack,,125.0,
2-in-1 Value Pack: Star-Lord & Gamora,,249.0,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,19.99,174.0,3.0
Wrecked Shrimp Boat,29.23,310.0,4.0
Graveyard Mystery,29.23,335.0,4.0
El Fuego's Stunt Truck,38.98,428.0,4.0
Shrimp Shack Attack,48.73,579.0,5.0
Paranormal Intercept Bus 3000,58.48,689.0,5.0
Ghost Train Express,77.97,698.0,6.0
Newbury Haunted High School,116.97,1474.0,8.0
Spinjitzu Kai,9.99,97.0,1.0
Spinjitzu Jay,9.99,97.0,1.0
Spinjitzu Zane,9.99,109.0,1.0
Spinjitzu Cole,9.99,117.0,1.0
Spinjitzu Nya & Wu,19.99,227.0,2.0
Spinjitzu Lloyd vs. Garmadon,19.99,208.0,2.0
The Samurai Mech,14.61,154.0,3.0
The Golden Dragon,19.49,171.0,3.0
Kai's Blade Cycle & Zane's Snowmobile,29.99,376.0,4.0
Jay's Storm Fighter,38.98,490.0,4.0
Cole's Earth Driller ,49.99,587.0,4.0
Monastery of Spinjitzu,77.97,1070.0,8.0
Lloyd's Journey,14.61,81.0,2.0
Cole's Dirt Bike,19.49,212.0,3.0
Shuricopter,29.23,361.0,3.0
Fire Fang,43.86,463.0,4.0
Katana 4X4,48.73,450.0,5.0
Lloyd's Titan Mech,68.23,876.0,6.0
Land Bounty,126.71,1178.0,9.0
Castle of the Forsaken Emperor,97.47,1218.0,7.0
The Ultra Dragon,87.72,951.0,6.0
Monastery Training,9.99,122.0,2.0
Spinjitzu Slam - Lloyd,9.74,70.0,1.0
Spinjitzu Slam - Jay,9.74,72.0,1.0
Spinjitzu Slam - Zane,9.99,63.0,1.0
Spinjitzu Slam - Kai vs. Samurai,19.49,164.0,2.0
LEGO Movie Maker,49.99,482.0,6.0
Emmet and Benny's 'Build and Fix' Workshop!,19.99,117.0,2.0
